STATION,NAME,UNITCODE,Year,Month,DATE,EVAP,EVAPMIN,EVAPMAX,PRECIP,SNOW,SNOWDEPTH,TEMPMAX,TEMPMIN,FOG,THUNDER,ICE,HAIL,RIME
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,3,2015-03-26,,,,0,0,0,69,42,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,3,2015-03-27,,,,0,0,0,76,46,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,3,2015-03-28,,,,0,0,0,82,51,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,3,2015-03-29,,,,0,0,0,83,53,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,3,2015-03-30,,,,0,0,0,83,53,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,3,2015-03-31,,,,0,0,0,84,54,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,4,2015-04-01,,,,0,0,0,81,52,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,4,2015-04-02,,,,0,0,0,72,52,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,4,2015-04-03,,,,0,0,0,63,40,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,4,2015-04-04,,,,0,0,0,67,41,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,4,2015-04-05,,,,0,0,0,75,44,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,4,2015-04-06,,,,0,0,0,76,35,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,4,2015-04-07,,,,0,0,0,70,36,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,4,2015-04-08,,,,0,0,0,70,44,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,4,2015-04-09,,,,0,0,0,58,34,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,4,2015-04-10,,,,0,0,0,70,42,,,,,
