Region,Type,UnitCode,ParkName,State,Year,Month,Visitors,Camping,OtherLodging,OtherCamping
Northeast,National Park,ACAD,Acadia National Park,ME,2010,11,"36,736",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2010,12,"9,544",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2011,1,"10,428",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2011,2,"9,533",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2011,3,"19,510",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2011,4,"58,307",474,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2011,5,"132,720","8,151",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2011,6,"297,222","19,834",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2011,7,"559,892","43,961",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2011,8,"583,153","41,319",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2011,9,"387,868","24,074",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2011,10,"270,477","8,742",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2011,11,"34,192",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2011,12,"11,343",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2012,1,"11,930",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2012,2,"12,388",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2012,3,"22,684",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2012,4,"59,471","1,512",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2012,5,"157,406","9,296",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2012,6,"309,198","21,313",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2012,7,"539,234","42,996",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2012,8,"574,307","45,146",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2012,9,"391,810","24,457",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2012,10,"302,932","7,577",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2012,11,"38,385",261,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2012,12,"11,307",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2013,1,"11,249",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2013,2,"9,869",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2013,3,"20,631",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2013,4,"47,090","1,203",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2013,5,"133,653","7,260",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2013,6,"315,791","22,123",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2013,7,"555,308","42,050",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2013,8,"617,306","45,343",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2013,9,"400,400","24,613",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2013,10,"94,904","1,740",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2013,11,"41,181",552,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2013,12,"7,540",60,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2014,1,"10,459",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2014,2,"10,258",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2014,3,"17,502",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2014,4,"57,211",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2014,5,"153,013","9,850",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2014,6,"338,845","24,894",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2014,7,"561,073","43,781",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2014,8,"638,152","45,117",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2014,9,"418,173","27,835",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2014,10,"313,920","9,596",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2014,11,"31,013",0,0,0
