Species_ID,Category,Family,Scientific_Name,Common_Names,Record_Status,Occurrence,Nativeness,Abundance,Seasonality,Conservation_Status
ACAD-1450,Fish,Catostomidae,Catostomus commersoni,"Common Sucker, White Sucker",Approved,Present,Native,Common,Breeder,
ACAD-1462,Fish,Gasterosteidae,Apeltes quadracus,Fourspine Stickleback,Approved,Present,Native,Uncommon,Breeder,
ACAD-1463,Fish,Gasterosteidae,Gasterosteus aculeatus,"Brook Stickleback, Threespine Stickleback, Three-Spined Stickleback",Approved,Present,Native,Common,Breeder,
ACAD-1479,Fish,Salmonidae,Salvelinus alpinus,"Arctic Char, Golden Trout, Silver Trout, Sunapee Char, Sunapee Trout",Approved,Not Present (Historical Report),Not Native,,,
ACAD-1482,Fish,Ictaluridae,Ameiurus nebulosus,Brown Bullhead,Approved,Present,Not Native,Uncommon,Breeder,
ACAD-1490,Vascular Plant,,Panicum acuminatum ssp. spretum,Panic Grass,Approved,Present,Native,Unknown,,
ACAD-1493,Vascular Plant,,Rubus allegheniensis x setosus,Hbrid Blackbetty,In Review,Not Confirmed,Native,,,
ACAD-1496,Vascular Plant,,Schoenoplectus acutus x tabernaemontanii,Hybrid,In Review,Present,Native,Rare,,
ACAD-1498,Vascular Plant,Alismataceae,Alisma triviale,Large Water Plantain,Approved,Present,Native,Rare,,
ACAD-1501,Vascular Plant,Araceae,Arisaema triphyllum,Northern Jack-In-The-Pulpit,Approved,Present,Native,Uncommon,,
ACAD-1502,Vascular Plant,Araceae,Calla palustris,Wild Calla,Approved,Present,Native,Uncommon,,
ACAD-1516,Vascular Plant,Potamogetonaceae,Potamogeton oakesianus,Oakes' Pondweed,Approved,Present,Native,Occasional,,
ACAD-1518,Vascular Plant,Potamogetonaceae,Potamogeton pusillus var. gemmiparus,"Budding Pondweed, Small Pondweed",Approved,Present,Native,Rare,,
ACAD-1521,Vascular Plant,Potamogetonaceae,Potamogeton zosteriformis,Flatstem Pondweed,Approved,Not Present (Historical Report),Native,,,
ACAD-1526,Vascular Plant,Zosteraceae,Zostera marina var. stenophylla,Eel-Grass,Approved,Present,Native,Uncommon,,
ACAD-1528,Vascular Plant,Apiaceae,Angelica atropurpurea,Purple-Stem Angelica,Approved,Not Confirmed,Native,,,
ACAD-1539,Vascular Plant,Apiaceae,Pastinaca sativa,Wild Parsnip,Approved,Not Confirmed,Not Native,,,
ACAD-1550,Vascular Plant,Aquifoliaceae,Ilex verticillata,"Winterberry, Black Alder",Approved,Present,Native,Common,,
ACAD-1553,Vascular Plant,Asparagaceae,Asparagus officinalis,Asparagus,Approved,Present,Not Native,Uncommon,,
ACAD-1556,Vascular Plant,Asparagaceae,Maianthemum stellatum,Star-Flowered Solomon's Seal,Approved,Present,Native,Rare,,
ACAD-1559,Vascular Plant,Iridaceae,Iris pseudacorus,Iris,Approved,Present,Not Native,Rare,,
ACAD-1562,Vascular Plant,Iridaceae,Sisyrinchium angustifolium,Common Blue-Eyed Grass,Approved,Not Confirmed,Native,,,
ACAD-1563,Vascular Plant,Iridaceae,Sisyrinchium atlanticum,Eastern Blue-Eyed Grass,Approved,Not Confirmed,Native,,,
ACAD-1570,Vascular Plant,Orchidaceae,Corallorrhiza trifida,Early Coralroot,Approved,Present,Native,Uncommon,,
ACAD-1573,Vascular Plant,Orchidaceae,Cypripedium pubescens,Large Yellow Lady's Slipper,Approved,Not Present (Historical Report),Native,,,
ACAD-1578,Vascular Plant,Orchidaceae,Goodyera tesselata,Checkered Rattlesnake Plantain,Approved,Not Confirmed,Native,,,
ACAD-1584,Vascular Plant,Orchidaceae,Platanthera clavellata,Green Wood Orchis,Approved,Present,Native,Uncommon,,
ACAD-1587,Vascular Plant,Orchidaceae,Platanthera hookeri,Hooker's Orchis,Approved,Not Confirmed,Native,,,
ACAD-1593,Vascular Plant,Orchidaceae,Platanthera psycodes,Small Purple Fringed Orchis,Approved,Present,Native,Uncommon,,
ACAD-1612,Vascular Plant,Asteraceae,Antennaria parlinii ssp. parlinii,Smooth Pussytoes,Approved,Not Confirmed,Native,,,
ACAD-1615,Vascular Plant,Asteraceae,Anthemis tinctoria,Yellow Chamomile,Approved,Not Present (Historical Report),Not Native,,,
ACAD-1620,Vascular Plant,Asteraceae,Artemisia stelleriana,"Dusty Miler, Beach Wormwood",Approved,Not Confirmed,Not Native,,,
ACAD-1641,Vascular Plant,Asteraceae,Erigeron annuus,Daisy Fleabane,Approved,Present,Native,Occasional,,
ACAD-1648,Vascular Plant,Asteraceae,Gnaphalium uliginosum,Low Cudweed,Approved,Present,Native,Common,,
ACAD-1651,Vascular Plant,Asteraceae,Helianthus X laetiflorus,Showy Sunflower,Approved,Not Confirmed,Not Native,,,
ACAD-1654,Vascular Plant,Asteraceae,Hieracium caespitosum,"Field Hawkweed, King Devil",Approved,Present,Not Native,Common,,
ACAD-1655,Vascular Plant,Asteraceae,Hieracium canadense,Canada Hawkweed,Approved,Present,Native,Common,,
ACAD-1656,Vascular Plant,Asteraceae,Hieracium kalmii,Canada Hawkweed,Approved,Not Present (Historical Report),Native,,,
ACAD-1660,Vascular Plant,Asteraceae,Hieracium pilosella,Mouse Ear,Approved,Present,Not Native,Common,,
ACAD-1667,Vascular Plant,Asteraceae,Lactuca canadensis var. latifolia,Wild Lettuce,Approved,Not Confirmed,Native,,,
ACAD-1692,Vascular Plant,Asteraceae,Senecio jacobaea,Stinking Willy,Approved,Present,Not Native,Unknown,,
ACAD-1700,Vascular Plant,Asteraceae,Solidago hispida,Hairy Goldenrod,Approved,Not Confirmed,Native,,,
ACAD-1706,Vascular Plant,Asteraceae,Solidago sempervirens,Seaside Goldenrod,Approved,Present,Native,Occasional,,
ACAD-1711,Vascular Plant,Asteraceae,Sonchus asper,Spiny-Leaved Sow Thistle,Approved,Present,Not Native,Common,,
ACAD-1722,Vascular Plant,Asteraceae,Symphyotrichum pilosum,Heath Aster,Approved,Not Present (Historical Report),Native,,,
ACAD-1726,Vascular Plant,Asteraceae,Symphyotrichum tradescantii,Shore Aster,Approved,Not Present (Historical Report),Native,,,
ACAD-1740,Vascular Plant,Campanulaceae,Lobelia spicata,Spiked Lobelia,Approved,Not Confirmed,Native,,,
ACAD-1745,Vascular Plant,Boraginaceae,Anchusa officinalis,Common Bugloss,Approved,Not Confirmed,Not Native,,,
ACAD-1766,Vascular Plant,Brassicaceae,Camelina microcarpa,False Flax,Approved,Not Confirmed,Not Native,,,
ACAD-1775,Vascular Plant,Brassicaceae,Draba verna,Spring Whitlow-Grass,Approved,Present,Native,Occasional,,
ACAD-1776,Vascular Plant,Brassicaceae,Erysimum cheiranthoides,"Treacle Mustard, Wormseed Mustard",Approved,Present,Not Native,Occasional,,
