Geo,Country,YearMon,Hotel,ShortStay,Camp
BE,Belgium,2012M08,1801206,1561923,717878
BE,Belgium,2012M07,1721769,1999327,714927
BE,Belgium,2012M06,1590900,699130,255404
BE,Belgium,2012M05,1667317,921878,335224
BE,Belgium,2012M04,1596330,1018496,218787
BE,Belgium,2012M03,1370525,709171,65883
BE,Belgium,2012M02,1130098,580575,45130
BE,Belgium,2012M01,1004977,342502,38883
BE,Belgium,2011M12,1326569,,
BE,Belgium,2011M11,1359161,,
BE,Belgium,2011M10,1640563,,
BE,Belgium,2011M09,1664434,,
BE,Belgium,2011M08,1825973,,
BE,Belgium,2011M07,1805984,,
BE,Belgium,2011M06,1672588,,
BE,Belgium,2011M05,1606580,,
BE,Belgium,2011M04,1568975,,
BE,Belgium,2011M03,1346878,,
BE,Belgium,2011M02,1072398,,
BE,Belgium,2011M01,945419,,
BE,Belgium,2010M12,1288118,,
BE,Belgium,2010M11,1321845,,
BE,Belgium,2010M10,1605449,,
BE,Belgium,2010M09,1608915,,
BE,Belgium,2010M08,1803291,,
BE,Belgium,2010M07,1711441,,
BE,Belgium,2010M06,1459137,,
BE,Belgium,2010M05,1596452,,
BE,Belgium,2010M04,1452920,,
BE,Belgium,2010M03,1199896,,
BE,Belgium,2010M02,1071413,,
BE,Belgium,2010M01,904373,,
BE,Belgium,2009M12,1262965,,
BE,Belgium,2009M11,1226369,,
BE,Belgium,2009M10,1460910,,
BE,Belgium,2009M09,1471670,,
BE,Belgium,2009M08,1699949,,
BE,Belgium,2009M07,1568472,,
BE,Belgium,2009M06,1313932,,
BE,Belgium,2009M05,1509600,,
BE,Belgium,2009M04,1381675,,
BE,Belgium,2009M03,1137324,,
BE,Belgium,2009M02,1032724,,
BE,Belgium,2009M01,871594,,
BE,Belgium,2008M12,1237272,,
BE,Belgium,2008M11,1235026,,
BE,Belgium,2008M10,1478261,,
BE,Belgium,2008M09,1516464,,
BE,Belgium,2008M08,1703245,,
BE,Belgium,2008M07,1613497,,
BE,Belgium,2008M06,1419742,,
BE,Belgium,2008M05,1626438,,
BE,Belgium,2008M04,1410446,,
BE,Belgium,2008M03,1280069,,
BE,Belgium,2008M02,1103071,,
BE,Belgium,2008M01,917782,,
BE,Belgium,2007M12,1219833,,
BE,Belgium,2007M11,1292784,,
BE,Belgium,2007M10,1474662,,
BE,Belgium,2007M09,1541504,,
BE,Belgium,2007M08,1688787,,
BE,Belgium,2007M07,1569339,,
BE,Belgium,2007M06,1429437,,
BE,Belgium,2007M05,1456552,,
BE,Belgium,2007M04,1439684,,
BE,Belgium,2007M03,1197919,,
BE,Belgium,2007M02,1012242,,
BE,Belgium,2007M01,873865,,
BE,Belgium,2006M12,1169570,,
BE,Belgium,2006M11,1192421,,
BE,Belgium,2006M10,1388484,,
BE,Belgium,2006M09,1468598,,
BE,Belgium,2006M08,1552111,,
BE,Belgium,2006M07,1509322,,
BE,Belgium,2006M06,1418473,,
BE,Belgium,2006M05,1434762,,
BE,Belgium,2006M04,1365320,,
BE,Belgium,2006M03,1093808,,
BE,Belgium,2006M02,958024,,
BE,Belgium,2006M01,819668,,
BE,Belgium,2005M12,1103144,,
BE,Belgium,2005M11,1155641,,
BE,Belgium,2005M10,1373575,,
BE,Belgium,2005M09,1418727,,
BE,Belgium,2005M08,1546685,,
BE,Belgium,2005M07,1395253,,
BE,Belgium,2005M06,1303609,,
BE,Belgium,2005M05,1358144,,
BE,Belgium,2005M04,1232124,,
BE,Belgium,2005M03,1068605,,
BE,Belgium,2005M02,904178,,
BE,Belgium,2005M01,750655,,
BE,Belgium,2004M12,1037452,,
BE,Belgium,2004M11,1062913,,
BE,Belgium,2004M10,1282310,,
BE,Belgium,2004M09,1329916,,
BE,Belgium,2004M08,1508141,,
BE,Belgium,2004M07,1435329,,
BE,Belgium,2004M06,1267200,,
BE,Belgium,2004M05,1416476,,
BE,Belgium,2004M04,1287220,,
BE,Belgium,2004M03,1074741,,
BE,Belgium,2004M02,943858,,
BE,Belgium,2004M01,759287,,
BG,Bulgaria,2017M09,2909133,175739,4387
BG,Bulgaria,2017M08,5398483,523512,24373
BG,Bulgaria,2017M07,5480745,506407,22367
BG,Bulgaria,2017M06,3676448,206273,6804
BG,Bulgaria,2017M05,1246376,63584,128
BG,Bulgaria,2017M04,846531,61278,150
BG,Bulgaria,2017M03,725647,56870,131
BG,Bulgaria,2017M02,838082,69415,0
BG,Bulgaria,2017M01,743518,58490,0
BG,Bulgaria,2016M12,734344,73814,0
BG,Bulgaria,2016M11,589739,53858,0
BG,Bulgaria,2016M10,815500,66259,22
BG,Bulgaria,2016M09,2895051,174253,4318
BG,Bulgaria,2016M08,5342880,472763,22511
BG,Bulgaria,2016M07,5246104,465469,23261
BG,Bulgaria,2016M06,3395735,181316,6470
BG,Bulgaria,2016M05,1283849,66491,124
BG,Bulgaria,2016M04,752341,61793,268
BG,Bulgaria,2016M03,683275,58875,33
BG,Bulgaria,2016M02,829420,74112,0
BG,Bulgaria,2016M01,751293,60455,0
BG,Bulgaria,2015M12,650042,63744,0
BG,Bulgaria,2015M11,532994,49637,0
BG,Bulgaria,2015M10,667680,60151,0
BG,Bulgaria,2015M09,2258483,157102,2742
BG,Bulgaria,2015M08,4679705,462984,17141
BG,Bulgaria,2015M07,4405012,435911,15524
BG,Bulgaria,2015M06,2738255,166979,4189
BG,Bulgaria,2015M05,1063785,61607,150
BG,Bulgaria,2015M04,663885,58718,44
BG,Bulgaria,2015M03,612429,53734,40
BG,Bulgaria,2015M02,706869,66575,0
BG,Bulgaria,2015M01,676002,65703,0
BG,Bulgaria,2014M12,652499,71328,0
BG,Bulgaria,2014M11,542167,53441,0
BG,Bulgaria,2014M10,645629,56438,0
BG,Bulgaria,2014M09,2095816,143901,1445
BG,Bulgaria,2014M08,4631837,443499,13753
BG,Bulgaria,2014M07,4423748,418133,12317
BG,Bulgaria,2014M06,3216350,189724,3883
BG,Bulgaria,2014M05,1139677,72068,269
BG,Bulgaria,2014M04,640960,58685,20
BG,Bulgaria,2014M03,640166,60919,2
BG,Bulgaria,2014M02,673552,62380,0
BG,Bulgaria,2014M01,680791,52994,0
BG,Bulgaria,2013M12,615330,66205,0
BG,Bulgaria,2013M11,549775,52750,20
BG,Bulgaria,2013M10,663989,53579,0
BG,Bulgaria,2013M09,2234277,152010,530
BG,Bulgaria,2013M08,4581524,432546,10927
BG,Bulgaria,2013M07,4588985,423212,14842
BG,Bulgaria,2013M06,3247969,209576,8769
BG,Bulgaria,2013M05,1117209,66456,294
BG,Bulgaria,2013M04,530500,52837,34
BG,Bulgaria,2013M03,577731,54246,0
BG,Bulgaria,2013M02,607419,59839,0
BG,Bulgaria,2013M01,599656,44438,0
BG,Bulgaria,2012M12,543738,58248,40
BG,Bulgaria,2012M11,457536,45114,3
BG,Bulgaria,2012M10,599115,51128,107
BG,Bulgaria,2012M09,2118940,135310,1562
BG,Bulgaria,2012M08,4435183,413019,12802
BG,Bulgaria,2012M07,4428396,403250,14294
BG,Bulgaria,2012M06,2933314,177004,13114
BG,Bulgaria,2012M05,939380,53391,141
BG,Bulgaria,2012M04,608848,47484,6
BG,Bulgaria,2012M03,528451,46781,0
BG,Bulgaria,2012M02,521609,51191,0
BG,Bulgaria,2012M01,567722,45817,0
BG,Bulgaria,2011M12,509223,,
BG,Bulgaria,2011M11,433010,,
BG,Bulgaria,2011M10,535257,,
BG,Bulgaria,2011M09,2096101,,
BG,Bulgaria,2011M08,4065559,,
BG,Bulgaria,2011M07,4107837,,
BG,Bulgaria,2011M06,2719861,,
BG,Bulgaria,2011M05,959385,,
BG,Bulgaria,2011M04,581616,,
BG,Bulgaria,2011M03,482585,,
BG,Bulgaria,2011M02,476378,,
BG,Bulgaria,2011M01,486794,,
BG,Bulgaria,2010M12,520277,,
BG,Bulgaria,2010M11,426617,,
BG,Bulgaria,2010M10,549040,,
BG,Bulgaria,2010M09,1799597,,
BG,Bulgaria,2010M08,3435081,,
BG,Bulgaria,2010M07,3339433,,
BG,Bulgaria,2010M06,2149582,,
BG,Bulgaria,2010M05,877547,,
BG,Bulgaria,2010M04,503728,,
BG,Bulgaria,2010M03,441172,,
BG,Bulgaria,2010M02,471588,,
BG,Bulgaria,2010M01,488682,,
BG,Bulgaria,2009M12,461275,,
BG,Bulgaria,2009M11,395096,,
BG,Bulgaria,2009M10,522222,,
BG,Bulgaria,2009M09,1663332,,
BG,Bulgaria,2009M08,2992647,,
BG,Bulgaria,2009M07,2950638,,
BG,Bulgaria,2009M06,2034714,,
BG,Bulgaria,2009M05,954745,,
BG,Bulgaria,2009M04,567428,,
BG,Bulgaria,2009M03,489904,,
BG,Bulgaria,2009M02,496049,,
BG,Bulgaria,2009M01,525483,,
BG,Bulgaria,2008M12,571636,,
BG,Bulgaria,2008M11,496541,,
BG,Bulgaria,2008M10,694057,,
BG,Bulgaria,2008M09,2170085,,
BG,Bulgaria,2008M08,3559880,,
BG,Bulgaria,2008M07,3453313,,
BG,Bulgaria,2008M06,2515546,,
BG,Bulgaria,2008M05,1224144,,
BG,Bulgaria,2008M04,588175,,
BG,Bulgaria,2008M03,582258,,
BG,Bulgaria,2008M02,548106,,
BG,Bulgaria,2008M01,541047,,
BG,Bulgaria,2007M12,560316,,
BG,Bulgaria,2007M11,459744,,
BG,Bulgaria,2007M10,637318,,
BG,Bulgaria,2007M09,2261155,,
BG,Bulgaria,2007M08,3541154,,
BG,Bulgaria,2007M07,3495103,,
BG,Bulgaria,2007M06,2490378,,
BG,Bulgaria,2007M05,1114143,,
BG,Bulgaria,2007M04,608768,,
BG,Bulgaria,2007M03,512874,,
BG,Bulgaria,2007M02,471588,,
BG,Bulgaria,2007M01,538259,,
BG,Bulgaria,2006M12,500001,,
BG,Bulgaria,2006M11,425574,,
BG,Bulgaria,2006M10,647213,,
BG,Bulgaria,2006M09,2213832,,
BG,Bulgaria,2006M08,3530048,,
BG,Bulgaria,2006M07,3465612,,
BG,Bulgaria,2006M06,2377213,,
BG,Bulgaria,2006M05,1121959,,
BG,Bulgaria,2006M04,501103,,
BG,Bulgaria,2006M03,452590,,
BG,Bulgaria,2006M02,433794,,
BG,Bulgaria,2006M01,449421,,
BG,Bulgaria,2005M12,389418,,
BG,Bulgaria,2005M11,360136,,
BG,Bulgaria,2005M10,647928,,
BG,Bulgaria,2005M09,2294068,,
BG,Bulgaria,2005M08,3378709,,
BG,Bulgaria,2005M07,3240560,,
BG,Bulgaria,2005M06,2322800,,
BG,Bulgaria,2005M05,1126502,,
BG,Bulgaria,2005M04,460869,,
BG,Bulgaria,2005M03,418669,,
BG,Bulgaria,2005M02,378191,,
BG,Bulgaria,2005M01,410181,,
BG,Bulgaria,2004M12,,,
BG,Bulgaria,2004M11,,,
BG,Bulgaria,2004M10,,,
BG,Bulgaria,2004M09,,,
BG,Bulgaria,2004M08,,,
BG,Bulgaria,2004M07,,,
BG,Bulgaria,2004M06,,,
BG,Bulgaria,2004M05,,,
BG,Bulgaria,2004M04,,,
BG,Bulgaria,2004M03,,,
BG,Bulgaria,2004M02,,,
BG,Bulgaria,2004M01,,,
CY,Cyprus,2017M09,2216611,0,44
CY,Cyprus,2017M08,2542350,0,914
CY,Cyprus,2017M07,2479646,0,345
CY,Cyprus,2017M06,2227222,0,175
CY,Cyprus,2017M05,1897022,0,34
CY,Cyprus,2017M04,1013892,0,0
CY,Cyprus,2017M03,533140,0,0
CY,Cyprus,2017M02,346666,0,0
CY,Cyprus,2017M01,289517,0,0
CY,Cyprus,2016M12,272442,0,0
CY,Cyprus,2016M11,598821,0,0
CY,Cyprus,2016M10,1846069,0,0
CY,Cyprus,2016M09,2111802,0,43
CY,Cyprus,2016M08,2464916,0,957
CY,Cyprus,2016M07,2407259,0,345
CY,Cyprus,2016M06,2079404,0,225
CY,Cyprus,2016M05,1737838,0,34
CY,Cyprus,2016M04,855558,0,37
CY,Cyprus,2016M03,474197,0,0
CY,Cyprus,2016M02,280506,0,0
CY,Cyprus,2016M01,218431,0,0
CY,Cyprus,2015M12,235579,0,0
CY,Cyprus,2015M11,516524,0,0
CY,Cyprus,2015M10,1417834,0,577
CY,Cyprus,2015M09,1833212,0,627
CY,Cyprus,2015M08,2259659,0,851
CY,Cyprus,2015M07,2151394,0,483
CY,Cyprus,2015M06,1821979,0,293
CY,Cyprus,2015M05,1493518,0,31
CY,Cyprus,2015M04,789397,0,9
CY,Cyprus,2015M03,392687,0,0
CY,Cyprus,2015M02,251011,0,0
CY,Cyprus,2015M01,209174,0,0
CY,Cyprus,2014M12,224125,0,1617
CY,Cyprus,2014M11,438912,0,1669
CY,Cyprus,2014M10,1509849,0,2019
CY,Cyprus,2014M09,1889246,0,1947
CY,Cyprus,2014M08,2248472,0,4126
CY,Cyprus,2014M07,2159076,0,3241
CY,Cyprus,2014M06,1967105,0,2778
CY,Cyprus,2014M05,1609022,0,1730
CY,Cyprus,2014M04,790249,0,1755
CY,Cyprus,2014M03,398920,0,1753
CY,Cyprus,2014M02,244970,0,1574
CY,Cyprus,2014M01,209562,0,1623
CY,Cyprus,2013M12,228251,0,1628
CY,Cyprus,2013M11,470653,0,1649
CY,Cyprus,2013M10,1676734,0,1697
CY,Cyprus,2013M09,2011248,0,2050
CY,Cyprus,2013M08,2322420,0,6083
CY,Cyprus,2013M07,2176781,0,2557
CY,Cyprus,2013M06,1921580,0,2097
CY,Cyprus,2013M05,1559061,0,1795
CY,Cyprus,2013M04,731995,0,1752
CY,Cyprus,2013M03,444193,0,1791
CY,Cyprus,2013M02,250837,0,1591
CY,Cyprus,2013M01,228445,0,1642
CY,Cyprus,2012M12,269403,0,1614
CY,Cyprus,2012M11,559484,0,1647
CY,Cyprus,2012M10,1641654,0,1688
CY,Cyprus,2012M09,1994505,0,2151
CY,Cyprus,2012M08,2370818,0,7379
CY,Cyprus,2012M07,2225751,0,3565
CY,Cyprus,2012M06,1955214,0,2501
CY,Cyprus,2012M05,1456125,0,1867
CY,Cyprus,2012M04,827051,0,2006
CY,Cyprus,2012M03,526439,0,2008
CY,Cyprus,2012M02,393928,0,1682
CY,Cyprus,2012M01,326352,0,1742
CY,Cyprus,2011M12,335617,,
CY,Cyprus,2011M11,595028,,
CY,Cyprus,2011M10,1591139,,
CY,Cyprus,2011M09,1867372,,
CY,Cyprus,2011M08,2268602,,
CY,Cyprus,2011M07,2057237,,
CY,Cyprus,2011M06,1743620,,
CY,Cyprus,2011M05,1421602,,
CY,Cyprus,2011M04,905618,,
CY,Cyprus,2011M03,599900,,
CY,Cyprus,2011M02,380285,,
CY,Cyprus,2011M01,321824,,
CY,Cyprus,2010M12,348898,,
CY,Cyprus,2010M11,625591,,
CY,Cyprus,2010M10,1594092,,
CY,Cyprus,2010M09,1776927,,
CY,Cyprus,2010M08,2204906,,
CY,Cyprus,2010M07,1947440,,
CY,Cyprus,2010M06,1645811,,
CY,Cyprus,2010M05,1415133,,
CY,Cyprus,2010M04,735922,,
CY,Cyprus,2010M03,573116,,
CY,Cyprus,2010M02,383260,,
CY,Cyprus,2010M01,348166,,
CY,Cyprus,2009M12,333320,,
CY,Cyprus,2009M11,577133,,
CY,Cyprus,2009M10,1432386,,
CY,Cyprus,2009M09,1647777,,
CY,Cyprus,2009M08,2044840,,
CY,Cyprus,2009M07,1860135,,
CY,Cyprus,2009M06,1569871,,
CY,Cyprus,2009M05,1287907,,
CY,Cyprus,2009M04,806288,,
CY,Cyprus,2009M03,556255,,
CY,Cyprus,2009M02,360773,,
CY,Cyprus,2009M01,331237,,
CY,Cyprus,2008M12,385862,,
CY,Cyprus,2008M11,644996,,
CY,Cyprus,2008M10,1581369,,
CY,Cyprus,2008M09,1825461,,
CY,Cyprus,2008M08,2308474,,
CY,Cyprus,2008M07,2049690,,
CY,Cyprus,2008M06,1825967,,
CY,Cyprus,2008M05,1462345,,
CY,Cyprus,2008M04,791464,,
CY,Cyprus,2008M03,653882,,
CY,Cyprus,2008M02,416358,,
CY,Cyprus,2008M01,352089,,
CY,Cyprus,2007M12,404694,,
CY,Cyprus,2007M11,623459,,
CY,Cyprus,2007M10,1621712,,
CY,Cyprus,2007M09,1874607,,
CY,Cyprus,2007M08,2368637,,
CY,Cyprus,2007M07,2071772,,
CY,Cyprus,2007M06,1727774,,
CY,Cyprus,2007M05,1428980,,
CY,Cyprus,2007M04,861820,,
CY,Cyprus,2007M03,547389,,
CY,Cyprus,2007M02,414467,,
CY,Cyprus,2007M01,353167,,
CY,Cyprus,2006M12,390267,,
CY,Cyprus,2006M11,628355,,
CY,Cyprus,2006M10,1580900,,
CY,Cyprus,2006M09,1775627,,
CY,Cyprus,2006M08,2313808,,
CY,Cyprus,2006M07,2028335,,
CY,Cyprus,2006M06,1766703,,
CY,Cyprus,2006M05,1446888,,
CY,Cyprus,2006M04,963345,,
CY,Cyprus,2006M03,632308,,
CY,Cyprus,2006M02,411371,,
CY,Cyprus,2006M01,403463,,
CY,Cyprus,2005M12,370800,,
CY,Cyprus,2005M11,673612,,
CY,Cyprus,2005M10,1669128,,
CY,Cyprus,2005M09,1877207,,
CY,Cyprus,2005M08,2424593,,
CY,Cyprus,2005M07,2042013,,
CY,Cyprus,2005M06,1730531,,
CY,Cyprus,2005M05,1569091,,
CY,Cyprus,2005M04,953441,,
CY,Cyprus,2005M03,749147,,
CY,Cyprus,2005M02,461014,,
CY,Cyprus,2005M01,418755,,
CY,Cyprus,2004M12,417305,,
CY,Cyprus,2004M11,740587,,
CY,Cyprus,2004M10,1676684,,
CY,Cyprus,2004M09,1816863,,
CY,Cyprus,2004M08,2243569,,
CY,Cyprus,2004M07,1995442,,
CY,Cyprus,2004M06,1627397,,
CY,Cyprus,2004M05,1500935,,
CY,Cyprus,2004M04,982143,,
CY,Cyprus,2004M03,681590,,
CY,Cyprus,2004M02,523082,,
CY,Cyprus,2004M01,417755,,
CZ,Czech Republic,2017M09,3703081,967704,181416
CZ,Czech Republic,2017M08,4608752,1706401,1057906
CZ,Czech Republic,2017M07,4506633,1827066,1292272
CZ,Czech Republic,2017M06,3565856,939946,270503
CZ,Czech Republic,2017M05,3508487,836199,114152
CZ,Czech Republic,2017M04,3156979,678944,34063
CZ,Czech Republic,2017M03,2878345,678416,5340
CZ,Czech Republic,2017M02,2673420,745064,5237
